Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-05-31 00:00:00-04:00,1.222002914395446,1.2244072032621247,1.1895439613705812,1.1949540376663208,404205200,0.0,0.0
2005-06-01 00:00:00-04:00,1.19886137220537,1.2250081036277711,1.197959224601831,1.2111836671829224,453812800,0.0,0.0
2005-06-02 00:00:00-04:00,1.203669827419764,1.211784642126389,1.1901458384586276,1.203369379043579,373973600,0.0,0.0
2005-06-03 00:00:00-04:00,1.1468680133102822,1.1594907638951137,1.1351474108471826,1.1492722034454346,956869200,0.0,0.0
2005-06-06 00:00:00-04:00,1.1519773926141412,1.1609933536550827,1.1288356401284483,1.1396549940109253,811966400,0.0,0.0
2005-06-07 00:00:00-04:00,1.1300371782264231,1.1339443114932148,1.0954751797342153,1.098179817199707,745264800,0.0,0.0
2005-06-08 00:00:00-04:00,1.1008846919565405,1.1195184152184547,1.099081399290867,1.109600305557251,404006400,0.0,0.0
2005-06-09 00:00:00-04:00,1.1120047455491722,1.1402553109024742,1.1065946700930387,1.1315397024154663,390255600,0.0,0.0
2005-06-10 00:00:00-04:00,1.124026073981379,1.124026073981379,1.0675241263034212,1.0762405395507812,678932800,0.0,0.0
2005-06-13 00:00:00-04:00,1.078645426611924,1.1002842432247106,1.0765416848201865,1.0789458751678467,435772400,0.0,0.0
2005-06-14 00:00:00-04:00,1.0795462555739532,1.086458576028304,1.074437428293223,1.0819505453109741,347846800,0.0,0.0
2005-06-15 00:00:00-04:00,1.108098493299689,1.1210215918291249,1.0909677110125495,1.1159119606018066,563343200,0.0,0.0
2005-06-16 00:00:00-04:00,1.1177150404558482,1.1444634784319205,1.1065952380843596,1.1414583921432495,547674400,0.0,0.0
2005-06-17 00:00:00-04:00,1.1561844540055324,1.1582881940201497,1.1369490414556858,1.1513751745224,596125600,0.0,0.0
2005-06-20 00:00:00-04:00,1.1375514257118704,1.1447640953227252,1.125529473721372,1.1303379535675049,323716400,0.0,0.0
2005-06-21 00:00:00-04:00,1.1336443703332038,1.1477700645899516,1.1234258107457062,1.1378519535064697,370526800,0.0,0.0
2005-06-22 00:00:00-04:00,1.1498731571195588,1.1600909084073883,1.1462664729896552,1.1585887670516968,424925200,0.0,0.0
2005-06-23 00:00:00-04:00,1.1670041140515026,1.1955551369593864,1.1615940368388278,1.1688075065612793,674254000,0.0,0.0
2005-06-24 00:00:00-04:00,1.1748176924350653,1.1757198402030162,1.1324414252409487,1.1348456144332886,410709600,0.0,0.0
2005-06-27 00:00:00-04:00,1.1071955394421922,1.1450637628528475,1.1023870624542615,1.1150099039077759,600171600,0.0,0.0
2005-06-28 00:00:00-04:00,1.126732096050176,1.129737082533333,1.1171143336036338,1.1213219165802002,350299600,0.0,0.0
2005-06-29 00:00:00-04:00,1.1189173704965576,1.1207207630790152,1.0855570654792397,1.0930709838867188,448358400,0.0,0.0
2005-06-30 00:00:00-04:00,1.1002842505119284,1.1168141376662366,1.091268185539993,1.1062952280044556,418390000,0.0,0.0
2005-07-01 00:00:00-04:00,1.1068954609059904,1.1111030426905324,1.0906660305775269,1.0969773530960083,250000800,0.0,0.0
2005-07-05 00:00:00-04:00,1.098480421684868,1.1465672194040035,1.0969774772738363,1.1414583921432495,454269200,0.0,0.0
2005-07-06 00:00:00-04:00,1.1333437719468034,1.146867764873433,1.1180154831675606,1.1237260103225708,394626400,0.0,0.0
2005-07-07 00:00:00-04:00,1.1062944368694383,1.1348453557409985,1.105993988526383,1.1309391260147095,383723200,0.0,0.0
2005-07-08 00:00:00-04:00,1.1381517668880465,1.1504741624303587,1.1261299200252213,1.1495720148086548,290735200,0.0,0.0
2005-07-11 00:00:00-04:00,1.153179170901863,1.1615943360037522,1.1354474953193512,1.145064353942871,388788400,0.0,0.0
2005-07-12 00:00:00-04:00,1.148971855232773,1.1540814865660776,1.1393549943754597,1.1492722034454346,387038400,0.0,0.0
